kernel,batch_size,hidden_dim,ops,bytes_moved,latency_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_mops
baseline,32,512,131072,200704,9.222440000030474,9.150949999821023,9.82710500002213,9.99886100014919,14.212290890433215
numpy,32,512,131072,200704,0.04523999996308703,0.03915000024790061,0.06922499992469966,0.07192499985649192,2897.259065140284
numba,32,512,131072,200704,0.023260000034497352,0.017800000023271423,0.048574999891570714,0.06819499998528046,5635.081676939149
baseline,64,1024,524288,794624,36.08846999995876,35.97239999953672,37.1039799994378,37.2183159994438,14.52785335594995
numpy,64,1024,524288,794624,0.10788999970827717,0.10869999960050336,0.11328999930810824,0.11393799933102855,4859.46798978235
numba,64,1024,524288,794624,0.03612000000430271,0.03259999994043028,0.05597499975920071,0.06191499980559456,14515.171648326284
numpy,128,2048,2097152,3162112,1.6935999999986961,1.6435000002275046,1.8752149999727408,1.881442999920182,1238.2805857354833
numba,128,2048,2097152,3162112,0.34106999983123387,0.32604999978502747,0.40780999975140725,0.42588199951751454,6148.7436627017905
numpy,256,4096,8388608,12615680,6.7896699998527765,6.755399999747169,7.040015000120547,7.082963000057134,1235.4956868569302
numba,256,4096,8388608,12615680,1.2389599999551137,1.1773999999604712,1.6261249997569391,1.6957849994378194,6770.685090966545
numpy,512,8192,33554432,50397184,26.397669999823847,26.48414999976012,28.106684999875142,28.29557700017176,1271.1133975166713
numba,512,8192,33554432,50397184,5.9549499999775435,5.9197499999754655,6.224480000173571,6.258895999972083,5634.712634048402
numpy,1024,16384,134217728,201457664,99.30739000001267,99.0690500002529,104.63533499973892,105.60650699998405,1351.538168508737
numba,1024,16384,134217728,201457664,22.42736000007426,22.364250000009633,23.674170000231243,24.008034000362386,5984.553152914814
