kernel,M,K,N,flops,bytes_moved,latency_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_gflops,block_size,mode
baseline,64,128,64,1048576,81920,85.08265000000392,85.08265000000392,91.74115500136394,113.87192000027423,0.012324204758548913,,single_threaded
numpy,64,128,64,1048576,81920,0.01199999860546086,0.01199999860546086,0.01280500100619974,0.015908999212115294,87.38134348805865,,single_threaded
numba,64,128,64,1048576,81920,0.2958000004582573,0.2958000004582573,0.32051999933173647,0.3832070002135879,3.544881671316877,16.0,single_threaded
numpy,128,256,128,8388608,327680,0.07439999990310753,0.07439999990310753,0.08965500010162937,0.13238599967735346,112.75010767371825,,single_threaded
numba,128,256,128,8388608,327680,2.3501999994550715,2.3501999994550715,2.567959999305457,2.7368670002397266,3.5693166547293944,16.0,single_threaded
numpy,256,512,256,67108864,1310720,0.5298500000208151,0.5298500000208151,0.6058799996935702,0.7235129997570767,126.65634424339652,,single_threaded
numba,256,512,256,67108864,1310720,18.868750001274748,18.868750001274748,20.060695001029668,20.271291001317877,3.556614189888902,16.0,single_threaded
numpy,512,1024,512,536870912,5242880,4.3230000001130975,4.3230000001130975,4.675480000332754,4.869736000873672,124.18943141012133,,single_threaded
numba,512,1024,512,536870912,5242880,151.4785999997912,151.4785999997912,153.1380999997964,153.39585999996416,3.544203022742091,16.0,single_threaded
numpy,1024,2048,1024,4294967296,20971520,32.395899999755784,32.395899999755784,32.46652000125323,32.47194400151784,132.57749579522033,,single_threaded
numba,1024,2048,1024,4294967296,20971520,1253.1859000009717,1253.1859000009717,1263.6800199998106,1265.757523999855,3.4272387648126825,16.0,single_threaded
numpy,2048,4096,2048,34359738368,83886080,251.33960000130173,251.33960000130173,253.17593999970995,253.51286799974332,136.7064257594985,,single_threaded
numba,2048,4096,2048,34359738368,83886080,9842.873000001418,9842.873000001418,9870.050379998429,9873.91503599778,3.4908241087734293,16.0,single_threaded
